tag,category,implications
ankle_tuft,103,leg_tuft
ankles_tied,105,bound
anklet,100,jewelry
ankylosaurian,5,thyreophoran
annelid,5,
announcing_orgasm,110,
annoyed,101,
anon,4,
anon_(snoot_game),4,
anserinae,5,anatid
ant,5,hymenopteran
anteater,5,pilosan
antelope,5,bovid
antennae_(anatomy),103,
anthro,106,
anthro_dominating_human,106,dominant_anthro human_on_anthro submissive_human
anthro_dominating_male,106,dominant_anthro male_on_anthro submissive_male
anthro_fingering_anthro,106,anthro_on_anthro fingering_partner
anthro_fingering_male,106,fingering_partner male_fingered male_on_anthro
anthro_focus,108,anthro
anthro_on_anthro,106,anthro
anthro_on_bottom,106,anthro on_bottom
anthro_on_feral,106,anthro feral
anthro_on_top,106,anthro on_top
anthro_penetrated,106,anthro penetration
anthro_penetrating,106,anthro penetration
anthro_penetrating_andromorph,106,andromorph_penetrated anthro_penetrating_intersex
anthro_penetrating_anthro,106,anthro_on_anthro anthro_penetrated anthro_penetrating sex
anthro_penetrating_female,106,anthro_penetrating female_on_anthro female_penetrated
anthro_penetrating_feral,106,anthro_on_feral anthro_penetrating feral_penetrated sex
anthro_penetrating_gynomorph,106,anthro_penetrating_intersex gynomorph_on_anthro gynomorph_penetrated
anthro_penetrating_herm,106,anthro_penetrating_intersex herm_on_anthro herm_penetrated
anthro_penetrating_human,106,anthro_penetrating human_on_anthro human_penetrated sex
anthro_penetrating_humanoid,106,anthro_penetrating humanoid_on_anthro humanoid_penetrated sex
anthro_penetrating_intersex,106,anthro_penetrating intersex_on_anthro intersex_penetrated
anthro_penetrating_male,106,anthro_penetrating male_on_anthro male_penetrated
anthro_pov,106,anthro first_person_view
anthro_pred,106,anthro
anthro_prey,106,anthro
anthro_raping_anthro,106,anthro_on_anthro rape
anthro_raping_female,106,female_on_anthro female_raped rape
anthro_rimming_anthro,106,anthro_on_anthro rimming
anthro_rimming_male,106,male_on_anthro male_rimmed rimming
anthrofied,104,anthro
antlers,103,horn
anubian_jackal,5,jackal
anubis,4,deity
anus,103,
